,ARP_poisioning,DDOS_Slowloris,DOS_SYN_Hping,MQTT_Publish,Metasploit_Brute_Force_SSH,NMAP_FIN_SCAN,NMAP_OS_DETECTION,NMAP_TCP_scan,NMAP_UDP_SCAN,NMAP_XMAS_TREE_SCAN,Thing_Speak,Wipro_bulb
ARP_poisioning,0.9302925989672978,0.0,0.0,0.0,0.0017211703958691911,0.0,0.0017211703958691911,0.0017211703958691911,0.0,0.0025817555938037868,0.05335628227194492,0.008605851979345954
DDOS_Slowloris,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0
DOS_SYN_Hping,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_Publish,0.00482315112540193,0.0,0.0,0.9935691318327974,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0
Metasploit_Brute_Force_SSH,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_FIN_SCAN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_OS_DETECTION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NMAP_TCP_scan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NMAP_UDP_SCAN,0.010282776349614395,0.033419023136246784,0.0,0.0,0.0,0.0,0.0,0.0,0.9511568123393316,0.0,0.005141388174807198,0.0
NMAP_XMAS_TREE_SCAN,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.9933774834437086,0.0,0.0
Thing_Speak,0.022203947368421052,0.0,0.0,0.0,0.003289473684210526,0.0,0.0,0.0,0.005756578947368421,0.0,0.9514802631578947,0.017269736842105265
Wipro_bulb,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842105263158
